ID,Entry name
jgi|Aspni7|1083714,G3XSZ9
jgi|Aspni7|1083715,G3XTG6
jgi|Aspni7|1083755,G3XRD5
jgi|Aspni7|1083773,G3XS79
jgi|Aspni7|1083776,G3YCF7
jgi|Aspni7|1083779,G3XRH2
jgi|Aspni7|1083815,G3XRL6
jgi|Aspni7|1083843,G3XTE9
jgi|Aspni7|1083942,G3XR01
jgi|Aspni7|1083960,G3XTE1
jgi|Aspni7|1083961,G3XR23
jgi|Aspni7|1083968,G3XUM2
jgi|Aspni7|1083989,G3XU85
jgi|Aspni7|1084009,G3XUK7
jgi|Aspni7|1084041,G3XU02
jgi|Aspni7|1084043,G3XTY5
jgi|Aspni7|1084049,G3XUB1
jgi|Aspni7|1084078,G3XU69
jgi|Aspni7|1084107,G3XUB4
jgi|Aspni7|1084143,G3XUW3
jgi|Aspni7|1084145,G3XUA2
jgi|Aspni7|1084147,G3XU94
jgi|Aspni7|1084159,G3XUR5
jgi|Aspni7|1084180,G3XUA4
jgi|Aspni7|1084189,G3XUC8
jgi|Aspni7|1084200,G3XUJ4
jgi|Aspni7|1084208,G3XUJ2
jgi|Aspni7|1084212,G3XUE2
jgi|Aspni7|1084241,G3XU09
jgi|Aspni7|1084244,G3XUC2
jgi|Aspni7|1084265,G3XUQ0
jgi|Aspni7|1084280,G3XUL7
jgi|Aspni7|1084284,G3XUF5
jgi|Aspni7|1084289,G3XUQ1
jgi|Aspni7|1084333,G3XUF7
jgi|Aspni7|1084359,G3XUB5
jgi|Aspni7|1084368,G3XUD0
jgi|Aspni7|1084380,G3XUB0
jgi|Aspni7|1084409,G3XUQ9
jgi|Aspni7|1084431,G3XUT9
jgi|Aspni7|1084442,G3XTZ2
jgi|Aspni7|1084490,G3XUP4
jgi|Aspni7|1084526,G3XUM3
jgi|Aspni7|1084534,G3XU58
jgi|Aspni7|1084547,G3XTZ7
jgi|Aspni7|1084553,G3XUH3
jgi|Aspni7|1084591,G3XU52
jgi|Aspni7|1084599,G3XU77
jgi|Aspni7|1084665,G3XU20
jgi|Aspni7|1084666,G3XUT8
jgi|Aspni7|1084668,G3XU84
jgi|Aspni7|1084696,G3XUD9
jgi|Aspni7|1084705,G3XV24
jgi|Aspni7|1084740,G3XUL6
jgi|Aspni7|1084751,G3Y875
jgi|Aspni7|1084761,G3XUJ5
jgi|Aspni7|1084777,G3XUJ3
jgi|Aspni7|1084794,G3XUR4
jgi|Aspni7|1084795,G3XV00
jgi|Aspni7|1084800,G3XUU8
jgi|Aspni7|1084832,G3Y6C2
jgi|Aspni7|1084853,G3Y2D2
jgi|Aspni7|1084895,G3XVI6
jgi|Aspni7|1084943,G3XVY8
jgi|Aspni7|1084947,G3XW38
jgi|Aspni7|1084951,G3XV69
jgi|Aspni7|1084957,G3XW25
jgi|Aspni7|1084961,G3XVC1
jgi|Aspni7|1084970,G3XWI4
jgi|Aspni7|1084972,G3XVJ6
jgi|Aspni7|1084973,G3XV72
jgi|Aspni7|1084982,G3XV91
jgi|Aspni7|1085021,G3XWH8
jgi|Aspni7|1085034,G3XVX7
jgi|Aspni7|1085063,G3XV75
jgi|Aspni7|1085086,G3XVY4
jgi|Aspni7|1085091,G3XVH5
jgi|Aspni7|1085145,G3XVG2
jgi|Aspni7|1085160,G3XVB9
