,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3
r239,6.787449569346384,6.588096736693744,6.982953112745062,6.973705884572844,6.7471790851537445,7.110329095089685,6.551038489130577,6.786077460765867,6.951994708298918,6.902076231223331,6.947051505973174,6.769303755376242,6.814621785200647,7.0437013780889135,7.057310877515607,6.800310665108556,6.942334888233786,7.022477076348693,6.751679307454808,6.963807632555778,7.01372955993468,7.0178664372434225,6.959886951749536,7.094177245504772,7.019300236981753,7.013912649412477,7.0558374932814685,7.138756442086077,7.046931255416312,7.1404839194836125,7.0914812549937105,7.131732062962956,7.137023387719539,7.070452117121737,6.736167772727384,7.100722262638793,6.994709572520617,6.989001290243468,7.0736501166598496,7.025061928535522,6.8827274604185975,7.058755348728021,7.012911037678207,6.980446012253761,7.092503529525938,7.0058127570967175,6.92501214929095,7.0778286097570735,7.05301539193949,7.06710327774953,7.121796258335442
r240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r243,6.787449569346384,6.588096736693744,6.982953112745062,6.973705884572844,6.7471790851537445,7.110329095089685,6.551038489130577,6.786077460765867,6.951994708298918,6.902076231223331,6.947051505973174,6.769303755376242,6.814621785200647,7.0437013780889135,7.057310877515607,6.800310665108553,6.942334888233786,7.022477076348693,6.751679307454808,6.963807632555778,7.01372955993468,7.0178664372434225,6.959886951749536,7.094177245504772,7.019300236981753,7.013912649412477,7.0558374932814685,7.138756442086077,7.046931255416312,7.1404839194836125,7.0914812549937105,7.131732062962956,7.137023387719539,7.070452117121737,6.736167772727384,7.100722262638793,6.994709572520617,6.989001290243468,7.0736501166598496,7.025061928535522,6.8827274604185975,7.058755348728021,7.01291103767821,6.980446012253761,7.092503529525938,7.0058127570967175,6.92501214929095,7.0778286097570735,7.05301539193949,7.06710327774953,7.121796258335442
r244,6.787449569346384,6.588096736693744,6.982953112745062,6.973705884572844,6.7471790851537445,7.110329095089685,6.551038489130577,6.786077460765867,6.951994708298918,6.902076231223331,6.947051505973174,6.769303755376242,6.814621785200647,7.0437013780889135,7.057310877515607,6.800310665108553,6.942334888233786,7.022477076348693,6.751679307454808,6.963807632555778,7.01372955993468,7.0178664372434225,6.959886951749536,7.094177245504772,7.019300236981753,7.013912649412477,7.0558374932814685,7.138756442086077,7.046931255416312,7.1404839194836125,7.0914812549937105,7.131732062962956,7.137023387719539,7.070452117121737,6.736167772727384,7.100722262638793,6.994709572520617,6.989001290243468,7.0736501166598496,7.025061928535522,6.8827274604185975,7.058755348728021,7.01291103767821,6.980446012253761,7.092503529525938,7.0058127570967175,6.92501214929095,7.0778286097570735,7.05301539193949,7.06710327774953,7.121796258335442
r245,18.959894362609766,18.40606313408581,19.48185630914808,19.54578637630403,18.922957163442874,19.932127652936334,18.40353814220648,19.0308821804213,19.496559323526867,19.363353744649746,19.457164547312367,18.997671182862746,19.110235565988408,19.71624587427127,19.77911939779095,19.05645078751012,19.476298102281522,19.669476912430607,18.93270167093837,19.517775954844822,19.658066874488398,19.65355973514172,19.51026292023123,19.864092776810395,19.665007465257762,19.64819894937101,19.751148987604346,19.945570508360472,19.726340727031,19.973331429847548,19.83280409019388,19.954830894924726,19.96814347661021,19.804052532557897,18.893355923692404,19.903749492152773,19.61637535399471,19.586792139732896,19.819528818161228,19.7051306543082,19.303189071641377,19.80001871504621,19.67670723330011,19.576993301121032,19.890188397376424,19.63243141864857,19.411487975052008,19.817070504639844,19.761558839247442,19.80253631503598,19.939589932456574
r246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
